test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,hello,00:01:00,global information,1350,1350,0,22.5,0.33,2882.14,9654.32,2607.1,3602.43,5169.15,7839.74,1514.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,get_by_id,00:01:00,global information,1169,1169,0,19.48,16.85,3329.94,9690.5,3241.98,3989.5,6414.34,8806.4,1501.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,get_list,00:01:00,global information,1184,1184,0,19.73,17.96,3293.68,9654.85,3174.4,4018.18,6221.82,8855.55,1510.59,5.254,5.254,5.254,6.075,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,writes_light,00:01:00,global information,293,293,0,4.88,18.09,3316.84,9690.93,3190.78,3991.55,6586.37,8855.55,1541.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,big_payload,00:01:00,global information,32,32,0,0.53,61228.31,61615.34,62034.16,61669.38,61800.45,61964.29,62062.59,223.01,5833.035,5833.035,5833.035,182.282,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,compute_only,00:01:00,global information,157,157,0,2.62,10229.36,12960.6,22011.26,12623.87,13320.19,15753.22,19021.82,1669.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
