test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,hello,00:01:00,global information,1346,1346,0,22.43,0.08,2899.53,10518.42,2422.78,3428.35,6684.67,10280.96,2006.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,get_by_id,00:01:00,global information,1106,1106,0,18.43,11.86,3532.7,11356.04,3186.69,3993.6,9043.97,10346.5,2045.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,get_list,00:01:00,global information,1120,1120,0,18.67,9.21,3489.16,10518.3,3051.52,3960.83,8806.4,10338.3,2018.08,5.254,5.254,5.254,5.746,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,writes_light,00:01:00,global information,283,283,0,4.72,100.47,3450.97,11028.41,2979.84,3803.14,7962.62,10371.07,2009.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,big_payload,00:01:00,global information,32,32,0,0.53,61416.73,61740.52,62156.68,61734.91,61931.52,62062.59,62160.9,205.39,5833.035,5833.035,5833.035,182.282,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,compute_only,00:01:00,global information,155,155,0,2.58,10448.77,12939.49,19772.59,12574.72,13320.19,15646.72,18808.83,1673.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
