test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,hello,00:01:00,global information,1384,1384,0,23.07,0.1,2927.51,10145.62,1496.06,6766.59,9043.97,9838.59,3278.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,get_by_id,00:01:00,global information,1038,1038,0,17.3,9.81,3923.03,10823.24,1780.74,7802.88,9699.33,10149.89,3353.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,get_list,00:01:00,global information,1043,1043,0,17.38,9.15,3955.08,10688.27,1780.74,7839.74,9699.33,10543.1,3363.17,5.254,5.254,5.254,5.351,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,writes_light,00:01:00,global information,258,258,0,4.3,10.16,3831.11,10688.07,1781.76,7819.26,9592.83,9887.74,3283.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,big_payload,00:01:00,global information,32,32,0,0.53,66457.53,66833.55,67199.37,66846.72,66977.79,67174.4,67239.94,195.63,5833.035,5833.035,5833.035,182.282,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,compute_only,00:01:00,global information,175,175,0,2.92,10733.42,12438.99,21436.41,11681.79,12075.01,19578.88,20807.68,2566.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
